query_id,model,dataset,query_text,query_type,latency_ms,is_cached,intent,num_products,has_citation,citation_count,has_hallucination,price_match,category_match,price_filter_ok,judge_score,faithfulness_score,relevance_score,overall_score,timestamp
laptop_01,llama3.2:3b,synthetic_large,Tu van laptop Dell gia duoi 30 trieu cho lap trinh,product_search,18118.74569999054,False,product_search,5,True,3,False,False,True,True,,0.8,0.8,0.6788125430000946,2026-05-23T14:43:53.590143
laptop_02,llama3.2:3b,synthetic_large,MacBook Pro M3 co gi moi? Gia bao nhieu?,product_search,12936.201500007883,False,product_search,5,True,3,False,True,True,True,,1.0,0.8,0.7906379849999212,2026-05-23T14:44:07.534403
laptop_03,llama3.2:3b,synthetic_large,Laptop gaming RTX 4070 gia tu 35 den 45 trieu,product_search,13619.111799984239,False,product_search,4,True,3,False,False,True,True,,0.8,0.8,0.7238088820001577,2026-05-23T14:44:22.162573
phone_01,llama3.2:3b,synthetic_large,Tim dien thoai Samsung gia khoang 15 trieu,product_search,9348.704400006682,False,product_search,2,True,2,False,False,False,True,,0.8,0.5,0.6465129559999332,2026-05-23T14:44:32.512893
phone_02,llama3.2:3b,synthetic_large,iPhone 15 Pro Max co nhung mau nao? Gia bao nhieu?,product_search,10575.158499996178,False,product_search,5,False,0,False,True,False,True,,0.6000000000000001,0.5,0.5742484150000382,2026-05-23T14:44:44.093000
phone_03,llama3.2:3b,synthetic_large,Dien thoai chup anh dep gia duoi 10 trieu,semantic,9451.58240001183,False,product_search,5,True,3,False,True,False,True,,1.0,0.5,0.7054841759998818,2026-05-23T14:44:54.549560
fashion_men_01,llama3.2:3b,synthetic_large,Ao polo nam cotton cao cap gia duoi 500k,product_search,8471.512100077234,False,product_search,5,True,3,False,False,True,True,,0.8,0.8,0.7752848789992277,2026-05-23T14:45:04.029749
fashion_men_02,llama3.2:3b,synthetic_large,Giay sneaker Nike Air Force 1 size 42,product_search,7984.144699992612,False,product_search,5,True,3,False,False,True,True,,0.8,0.8,0.780158553000074,2026-05-23T14:45:13.016963
fashion_men_03,llama3.2:3b,synthetic_large,Quan jean nam slim fit mau xanh dam,product_search,10912.494800053537,False,general,5,True,1,False,True,False,True,,1.0,0.5,0.6908750519994646,2026-05-23T14:45:24.943337
fashion_women_01,llama3.2:3b,synthetic_large,Dam du tiec sang trong gia duoi 1 trieu,product_search,8922.211700002663,False,product_search,5,True,3,False,False,True,True,,0.8,0.8,0.7707778829999734,2026-05-23T14:45:34.872103
fashion_women_02,llama3.2:3b,synthetic_large,Vay cong so thanh lich cho nguoi di lam,semantic,11047.711199964397,False,general,5,True,1,False,True,True,True,,1.0,0.8,0.8095228880003561,2026-05-23T14:45:46.931390
fashion_women_03,llama3.2:3b,synthetic_large,Giay cao got nu 7cm mau den,product_search,10300.150500028394,False,general,5,True,1,False,False,True,True,,0.8,0.8,0.7569984949997162,2026-05-23T14:45:58.238113
beauty_01,llama3.2:3b,synthetic_large,Son moi mau do cam gia duoi 400k,product_search,7643.674300052226,False,product_search,1,True,1,False,False,True,True,,0.8,0.8,0.7835632569994778,2026-05-23T14:46:06.883786
beauty_02,llama3.2:3b,synthetic_large,Serum vitamin C tri tham nam tot nhat,semantic,10256.399799953215,False,product_search,5,True,3,False,False,False,True,,0.8,0.5,0.6374360020004679,2026-05-23T14:46:18.153121
beauty_03,llama3.2:3b,synthetic_large,Kem nen che phu tot cho da dau,semantic,10325.085199903697,False,product_search,5,True,3,False,False,False,True,,0.8,0.5,0.636749148000963,2026-05-23T14:46:29.484761
beauty_04,llama3.2:3b,synthetic_large,Sua rua mat Innisfree hay Senka tot hon?,semantic,11614.055200014263,False,general,5,True,3,False,False,False,True,,0.8,0.5,0.6238594479998574,2026-05-23T14:46:42.101274
home_01,llama3.2:3b,synthetic_large,Noi chien khong dau Philips 6 lit gia bao nhieu?,product_search,10828.286199946888,False,general,5,True,1,False,False,True,True,,0.8,0.8,0.7517171380005312,2026-05-23T14:46:53.945528
home_02,llama3.2:3b,synthetic_large,May pha ca phe tu dong tot nhat cho gia dinh,semantic,11879.425899940543,False,general,5,True,1,False,False,False,True,,0.8,0.5,0.6212057410005947,2026-05-23T14:47:06.834148
home_03,llama3.2:3b,synthetic_large,Bo noi inox cao cap gia duoi 5 trieu,product_search,8048.670399934053,False,product_search,3,True,3,False,False,False,True,,0.8,0.5,0.6595132960006596,2026-05-23T14:47:15.883747
audio_01,llama3.2:3b,synthetic_large,Tai nghe chong on Sony WH-1000XM5,product_search,8798.418899998069,False,product_search,5,True,3,False,True,False,True,,1.0,0.5,0.7120158110000192,2026-05-23T14:47:25.696964
audio_02,llama3.2:3b,synthetic_large,Tai nghe true wireless gia duoi 2 trieu,product_search,7697.352500050329,False,product_search,4,True,2,False,True,False,True,,1.0,0.5,0.7230264749994968,2026-05-23T14:47:34.401784
semantic_01,llama3.2:3b,synthetic_large,San pham phu hop cho nguoi di lam van phong,semantic,9656.356899999082,False,general,5,True,3,False,False,True,True,,0.8,0.8,0.7634364310000092,2026-05-23T14:47:45.067917
semantic_02,llama3.2:3b,synthetic_large,Qua tang cho ban gai dip sinh nhat,semantic,10121.084699989296,False,general,5,True,3,False,False,True,True,,0.8,0.8,0.7587891530001071,2026-05-23T14:47:56.195934
semantic_03,llama3.2:3b,synthetic_large,Do dung thiet yeu cho nguoi moi ra rieng,semantic,19336.1727000447,False,general,5,True,2,False,False,True,True,,0.8,0.8,0.666638272999553,2026-05-23T14:48:16.535612
edge_01,llama3.2:3b,synthetic_large,Tim iPhone 25 Pro Max gia bao nhieu?,edge_case,10573.847300023772,False,product_search,5,True,3,False,False,True,True,,0.8,0.8,0.7542615269997623,2026-05-23T14:48:28.110191
edge_02,llama3.2:3b,synthetic_large,Laptop Alienware X99 co ban khong?,edge_case,9304.298800067045,False,product_search,5,True,3,False,False,True,True,,0.8,0.8,0.7669570119993296,2026-05-23T14:48:38.425510
edge_03,llama3.2:3b,synthetic_large,asdfghjkl,edge_case,8872.815599897876,False,general,5,True,3,False,False,True,True,,0.8,0.8,0.7712718440010213,2026-05-23T14:48:48.305464
edge_04,llama3.2:3b,synthetic_large,San pham gia 1 dong,edge_case,9391.319700051099,False,product_search,5,True,3,False,False,True,False,,0.8,0.5,0.6460868029994891,2026-05-23T14:48:58.699580
